Name,ParamList
genhyperbolic,"{'p': 3.7838060914988656, 'a': 0.7793228246047357, 'b': -0.7793223442239354, 'loc': 1.9390989612955956, 'scale': 2.4503806010025374e-07}"
genhyperbolic,"{'p': -9.021740968531574, 'a': 27.964557235802353, 'b': 27.93963171504467, 'loc': -2.4900152646276124, 'scale': 1.439498995803517}"
gennorm,"{'beta': 0.4382447829453491, 'loc': -0.3745008079939721, 'scale': 0.0035270291690392506}"
gennorm,"{'beta': 2.651893022169988, 'loc': -0.014668704721918314, 'scale': 1.5901653685959085}"
lognorm,"{'s': 1.0371542095919941, 'loc': -0.4436901531075925, 'scale': 0.19010887291750955}"
lognorm,"{'s': 0.3310873608076327, 'loc': -2.922773206742864, 'scale': 2.7686758075098505}"
genhyperbolic,"{'p': 0.2363622446937882, 'a': 5.898541914491258e-06, 'b': 5.485634406779069e-06, 'loc': -0.7027128847567501, 'scale': 1.6113100907912593e-06}"
genhyperbolic,"{'p': 0.4216222740011641, 'a': 1.0347486574114764, 'b': 1.0344524534422732, 'loc': -0.9471221192975283, 'scale': 0.0006328419855847996}"
burr,"{'c': 1.6435433504787116, 'd': 0.13275413335315386, 'loc': -0.19656375009675306, 'scale': 0.5704074668443817}"
genhyperbolic,"{'p': 0.3861727779727453, 'a': 2.672384893912035, 'b': 2.5073613979498184, 'loc': -1.079104424282353, 'scale': 0.20618629527666116}"
genhyperbolic,"{'p': -0.18914855321014007, 'a': 1.7044007539491888, 'b': 1.6359240145168485, 'loc': -0.7452661176588101, 'scale': 0.14881691882752035}"
chi2,"{'df': 0.2986756367847483, 'loc': -1.6496029031872546, 'scale': 0.7453129214317473}"
gennorm,"{'beta': 0.44624608198110705, 'loc': 0.6322157536347317, 'scale': 0.02196829237460661}"
burr,"{'c': 1.374369360821567, 'd': 0.3327121204520777, 'loc': -1.2673268858888382, 'scale': 1.3107490400583592}"
genhyperbolic,"{'p': 0.9058938534101879, 'a': 5.829897995143533e-07, 'b': 4.213137540061629e-07, 'loc': -0.8378058254703822, 'scale': 1.7960756186529577e-07}"
laplace,"{'loc': 0.09474817437362437, 'scale': 0.7555817110697215}"
gennorm,"{'beta': 2.4200039795651658, 'loc': 0.01484282992773014, 'scale': 1.5268932151009342}"
burr,"{'c': 1.4854605753339967, 'd': 0.06660011829891997, 'loc': -0.6263942954900229, 'scale': 0.1813731641621188}"
burr,"{'c': 0.9724367331705702, 'd': 0.931644261690491, 'loc': -0.9955557129760216, 'scale': 0.562946496843846}"
uniform,"{'loc': -1.5653467872485776, 'scale': 3.731442488577877}"
genhyperbolic,"{'p': 0.5479296474959492, 'a': 0.5175534203392949, 'b': -0.022535876603757717, 'loc': 0.048864381731192695, 'scale': 0.4099348698768587}"
cauchy,"{'loc': 0.1925973953155169, 'scale': 0.2730271333169858}"
burr,"{'c': 1.4961804139073918, 'd': 0.09727380647411324, 'loc': -1.0391664392767634, 'scale': 1.0079570020930713}"
genhyperbolic,"{'p': -2.1939154545279105, 'a': 10.27671277390974, 'b': 9.656278744122332, 'loc': -1.7290189238087392, 'scale': 0.9550644970485367}"
burr,"{'c': 5.690563708913743, 'd': 0.571867297945522, 'loc': -2.586659850773569, 'scale': 2.8950998784918447}"
genhyperbolic,"{'p': 8.756000301773827, 'a': 0.00021004478441507917, 'b': -8.557503689803241e-06, 'loc': 0.17447439785654412, 'scale': 5.018498294047944e-05}"
gamma,"{'a': 15.97972247400677, 'loc': -3.979189351547479, 'scale': 0.2485281764313561}"
genhyperbolic,"{'p': -2.8825222473988132, 'a': 0.46000579434202676, 'b': -0.2675337959335883, 'loc': 0.1363197134766638, 'scale': 1.9301773212945739}"
genhyperbolic,"{'p': -3.451942358035492, 'a': 12.143378027972352, 'b': 9.46359061572629, 'loc': -2.0068720961382356, 'scale': 2.3172642964735695}"
genhyperbolic,"{'p': 6.564136081655478, 'a': 0.35697453563347226, 'b': 0.015876287805451396, 'loc': -0.15296035528207338, 'scale': 0.09767888323862589}"
genhyperbolic,"{'p': -3.3473904023993697, 'a': 6.765234223141908, 'b': 6.647056561339841, 'loc': -1.2993298412078826, 'scale': 1.0035074485657458}"
genhyperbolic,"{'p': 0.8012800601177965, 'a': 0.8329111922441077, 'b': -0.1037801900019378, 'loc': 0.18338497945331755, 'scale': 0.5523251549969008}"
genhyperbolic,"{'p': 5.018928399480843, 'a': 1.4690167607855973e-07, 'b': -1.1976592892750888e-07, 'loc': 0.8075576178421893, 'scale': 4.93360646245785e-09}"
cauchy,"{'loc': 0.34052146135287725, 'scale': 0.23364782878542756}"
